Hora,DiaSemana-Comodo
5.32,3400
7.03,3100
8.17,3200
8.65,3300
8.75,3400
11.93,3500
13.07,3300
13.27,3400
17.43,3500
19.12,3100
19.72,3200
19.75,3300
22.12,3500
23.72,3200
7.40,4100
8.18,4200
8.45,4300
8.77,4400
11.80,4500
12.98,4300
13.18,4400
17.72,4500
18.85,4100
19.53,4200
19.75,4300
21.05,4100
21.38,4100
21.90,4500
23.42,4200
7.37,5100
8.07,5200
8.67,5300
8.95,5400
11.75,5500
13.08,5300
13.17,5400
17.68,5500
18.98,5100
19.65,5200
19.92,5300
22.22,5500
23.27,5200
7.18,6100
8.17,6200
8.73,6300
8.85,6400
12.20,6500
12.85,6300
13.40,6400
17.48,6500
19.15,6100
19.67,6200
20.15,6300
22.03,6500
23.68,6200
7.30,7100
7.97,7200
8.43,7300
9.12,7400
11.98,7500
13.22,7300
13.12,7400
17.53,7500
18.87,7100
19.50,7200
20.20,7300
22.02,7500
23.40,7200
7.07,1100
8.05,1200
8.50,1300
9.03,1400
11.90,1500
12.82,1300
13.18,1400
17.70,1500
19.17,1100
19.60,1200
19.77,1300
22.07,1500
23.35,1200
7.10,2100
7.92,2200
8.67,2300
9.22,2400
12.15,2500
12.75,2300
13.32,2400
17.32,2500
18.77,2100
19.65,2200
20.00,2300
22.10,2500
23.40,2200
7.20,3100
8.00,3200
8.47,3300
8.80,3400
11.92,3500
12.77,3300
13.25,3400
17.53,3500
18.78,3100
19.43,3200
20.22,3300
21.87,3500
23.50,3200
7.33,4100
7.77,4200
8.73,4300
9.13,4400
12.10,4500
12.90,4300
12.97,4400
17.38,4500
19.10,4100
19.28,4200
20.12,4300
21.90,4500
23.58,4200
7.43,5100
8.10,5200
8.32,5300
8.78,5400
12.13,5500
12.75,5300
13.33,5400
17.25,5500
19.10,5100
19.27,5200
19.97,5300
22.10,5500
23.43,5200
7.48,6100
8.23,6200
8.55,6300
8.82,6400
12.22,6500
13.20,6300
13.25,6400
17.40,6500
18.90,6100
19.63,6200
19.83,6300
21.88,6500
23.30,6200
7.08,7100
8.05,7200
8.27,7300
9.08,7400
11.95,7500
13.10,7300
13.35,7400
17.58,7500
18.83,7100
19.72,7200
19.97,7300
21.75,7500
23.55,7200
7.47,1100
7.93,1200
8.50,1300
9.23,1400
12.23,1500
13.02,1300
13.03,1400
17.40,1500
18.90,1100
19.30,1200
20.07,1300
22.03,1500
23.32,1200
7.42,2100
8.05,2200
8.43,2300
9.03,2400
12.22,2500
13.23,2300
13.30,2400
17.57,2500
19.15,2100
19.37,2200
20.22,2300
21.75,2500
23.57,2200
7.35,3100
8.20,3200
8.60,3300
9.15,3400
11.75,3500
12.83,3300
12.98,3400
17.42,3500
19.22,3100
19.40,3200
20.13,3300
21.90,3500
23.63,3200
7.32,4100
7.85,4200
8.63,4300
9.18,4400
11.98,4500
12.93,4300
12.98,4400
17.38,4500
19.18,4100
19.33,4200
19.88,4300
22.03,4500
23.25,4200
7.22,5100
7.85,5200
8.72,5300
8.80,5400
11.80,5500
13.02,5300
13.38,5400
17.42,5500
19.15,5100
19.32,5200
20.05,5300
22.00,5500
23.30,5200
7.22,6100
7.97,6200
8.63,6300
9.18,6400
11.90,6500
13.03,6300
13.12,6400
17.32,6500
18.92,6100
19.52,6200
20.17,6300
22.22,6500
23.62,6200
7.27,7100
8.20,7200
8.42,7300
9.15,7400
12.12,7500
12.95,7300
13.05,7400
17.73,7500
19.10,7100
19.70,7200
19.95,7300
22.17,7500
23.33,7200
7.10,1100
7.93,1200
8.47,1300
9.15,1400
11.78,1500
12.82,1300
13.08,1400
17.43,1500
19.20,1100
19.57,1200
20.00,1300
21.75,1500
23.68,1200
7.35,2100
7.90,2200
8.68,2300
8.80,2400
12.07,2500
12.78,2300
13.00,2400
17.43,2500
19.23,2100
19.25,2200
